quad_obs,quad_act,quad_axes,pend_obs,pend_corners,pred_quad_traj,pred_pend_traj,opt_t,plan_dt,quad_s0
"[-5.00000000e+00  0.00000000e+00  4.03800005e-03  0.00000000e+00
  5.99820100e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  4.03800005e-01]","[[30.00000025]
 [ 0.        ]
 [ 3.00000002]
 [ 0.        ]]","[array([-4.70053951,  0.        ,  0.02202181]), array([-5.00000000e+00, -3.00000000e-01,  4.03800005e-03]), array([-5.01798381,  0.        ,  0.30349849])]","[ 0.        0.        5.098038  0.        0.        0.        0.
  0.       -4.8038  ]","[[0.0, 0.5, 5.348038], [0.0, -0.5, 5.348038], [0.0, 0.5, 4.848038], [0.0, -0.5, 4.848038]]","[[-5.00000000e+00  0.00000000e+00  0.00000000e+00 -1.53161839e-31
   0.00000000e+00 -5.00000000e+00  0.00000000e+00  0.00000000e+00
   3.00000002e+01  0.00000000e+00  3.00000002e+00  0.00000000e+00]
 [-5.00000000e+00  0.00000000e+00 -5.00000000e-01  1.01415709e-31
   0.00000000e+00 -1.99999998e+00  0.00000000e+00  3.00000002e-01
   3.00000002e+01  0.00000000e+00  3.00000001e+00  0.00000000e+00]
 [-5.00000000e+00  0.00000000e+00 -6.99999998e-01  2.94300002e-01
   0.00000000e+00  1.00000005e+00  0.00000000e+00  6.00000002e-01
   3.00000001e+01  0.00000000e+00  2.99999999e+00  0.00000000e+00]
 [-4.97057000e+00  0.00000000e+00 -5.99999993e-01  8.82900004e-01
   0.00000000e+00  4.00000006e+00  0.00000000e+00  9.00000001e-01
   7.28417134e+00  0.00000000e+00  2.99999993e+00  0.00000000e+00]
 [-4.88228000e+00  0.00000000e+00 -1.99999987e-01  1.76580001e+00
   0.00000000e+00  4.72841719e+00  0.00000000e+00  1.19999999e+00
   2.40297658e-07  0.00000000e+00  7.02145382e-01  0.00000000e+00]
 [-4.70570000e+00  0.00000000e+00  2.72841731e-01  2.94300000e+00
   0.00000000e+00  4.72841721e+00  0.00000000e+00  1.27021453e+00
   1.30631182e-07  0.00000000e+00 -2.99999986e+00  0.00000000e+00]
 [-4.41140000e+00  0.00000000e+00  7.45683453e-01  4.18908046e+00
   0.00000000e+00  4.72841723e+00  0.00000000e+00  9.70214547e-01
   9.76379367e-08  0.00000000e+00 -2.99999991e+00  0.00000000e+00]
 [-3.99249195e+00  0.00000000e+00  1.21852518e+00  5.14086093e+00
   0.00000000e+00  4.72841724e+00  0.00000000e+00  6.70214555e-01
   8.40018577e-08  0.00000000e+00 -2.99999992e+00  0.00000000e+00]
 [-3.47840586e+00  0.00000000e+00  1.69136690e+00  5.79834140e+00
   0.00000000e+00  4.72841724e+00  0.00000000e+00  3.70214563e-01
   7.88267301e-08  0.00000000e+00 -2.99999991e+00  0.00000000e+00]
 [-2.89857172e+00  0.00000000e+00  2.16420862e+00  6.16152189e+00
   0.00000000e+00  4.72841725e+00  0.00000000e+00  7.02145718e-02
   7.88589961e-08  0.00000000e+00 -2.99999989e+00  0.00000000e+00]
 [-2.28241953e+00  0.00000000e+00  2.63705035e+00  6.23040239e+00
   0.00000000e+00  4.72841726e+00  0.00000000e+00 -2.29785417e-01
   8.31979551e-08  0.00000000e+00 -2.99999984e+00  0.00000000e+00]
 [-1.65937929e+00  0.00000000e+00  3.10989207e+00  6.00498289e+00
   0.00000000e+00  4.72841727e+00  0.00000000e+00 -5.29785400e-01
   9.21440923e-08  0.00000000e+00 -2.99999974e+00  0.00000000e+00]
 [-1.05888100e+00  0.00000000e+00  3.58273380e+00  5.48526341e+00
   0.00000000e+00  4.72841728e+00  0.00000000e+00 -8.29785374e-01
   1.07116090e-07  0.00000000e+00 -2.99999951e+00  0.00000000e+00]
 [-5.10354662e-01  0.00000000e+00  4.05557553e+00  4.67124396e+00
   0.00000000e+00  4.72841729e+00  0.00000000e+00 -1.12978533e+00
   1.31258714e-07  0.00000000e+00 -2.99999888e+00  0.00000000e+00]
 [-4.32302656e-02  0.00000000e+00  4.52841726e+00  3.56292456e+00
   0.00000000e+00  4.72841730e+00  0.00000000e+00 -1.42978521e+00
   1.71286356e-07  0.00000000e+00 -2.99999560e+00  0.00000000e+00]
 [ 3.13062190e-01  0.00000000e+00  5.00125899e+00  2.16030526e+00
   0.00000000e+00  4.72841732e+00  0.00000000e+00 -1.72978477e+00
   2.42950782e-07  0.00000000e+00  4.57911203e-01  0.00000000e+00]
 [ 5.29092717e-01  0.00000000e+00  5.47410072e+00  4.63386401e-01
   0.00000000e+00  4.72841734e+00  0.00000000e+00 -1.68399365e+00
   3.90826696e-07  0.00000000e+00  2.99986213e+00  0.00000000e+00]
 [ 5.75431357e-01  0.00000000e+00  5.94694245e+00 -1.18861137e+00
   0.00000000e+00  4.72841738e+00  0.00000000e+00 -1.38400744e+00
   7.93422327e-07  0.00000000e+00  2.12049013e+00  0.00000000e+00]
 [ 4.56570220e-01  0.00000000e+00  6.41978419e+00 -2.54632267e+00
   0.00000000e+00  4.72841746e+00  0.00000000e+00 -1.17195843e+00
   3.24894382e-06  0.00000000e+00  2.75026933e-01  0.00000000e+00]
 [ 2.01937952e-01  0.00000000e+00  6.89262594e+00 -3.69601389e+00
   0.00000000e+00  4.72841779e+00  0.00000000e+00 -1.14445573e+00
   9.75296527e+00  0.00000000e+00  1.13311318e-01  0.00000000e+00]]","[[0.0, 0.0, 5.45095, 0.0, 0.0, 0.0, 0.0, 0.0, -4.018999999999998], [0.0, 0.0, 5.8038, 0.0, 0.0, 0.0, 0.0, 0.0, -3.0379999999999985], [0.0, 0.0, 6.058549999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0569999999999986], [0.0, 0.0, 6.215199999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0759999999999987], [0.0, 0.0, 6.27375, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09499999999999884], [0.0, 0.0, 6.2341999999999995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8860000000000011], [0.0, 0.0, 6.096549999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 1.867000000000001], [0.0, 0.0, 5.860799999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 2.848000000000001], [0.0, 0.0, 5.526949999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 3.829000000000001], [0.0, 0.0, 5.094999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 4.810000000000002], [0.0, 0.0, 4.564949999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 5.791000000000004], [0.0, 0.0, 3.936799999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 6.772000000000006], [0.0, 0.0, 3.2105499999999974, 0.0, 0.0, 0.0, 0.0, 0.0, 7.753000000000007], [0.0, 0.0, 2.386199999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 8.734000000000009], [0.0, 0.0, 1.4637499999999952, 0.0, 0.0, 0.0, 0.0, 0.0, 9.71500000000001], [0.0, 0.0, 0.4431999999999938, 0.0, 0.0, 0.0, 0.0, 0.0, 10.696000000000012], [0.0, 0.0, -0.6754500000000068, 0.0, 0.0, 0.0, 0.0, 0.0, 11.677000000000014], [0.0, 0.0, -1.8922000000000079, 0.0, 0.0, 0.0, 0.0, 0.0, 12.658000000000015], [0.0, 0.0, -3.2070500000000095, 0.0, 0.0, 0.0, 0.0, 0.0, 13.639000000000017], [0.0, 0.0, -4.620000000000012, 0.0, 0.0, 0.0, 0.0, 0.0, 14.620000000000019]]",0,0.1,"[-5.0, 0.0, -5.0, 0.0, 0.0, -5.0, 0.0, -0.0]"
"[-4.99964032  0.          0.01614121  0.          0.11993706  0.
  0.03596763  0.          0.80652098]","[[30.00000015]
 [ 0.        ]
 [ 2.99999999]
 [ 0.        ]]","[array([-4.70179547,  0.        ,  0.05203613]), array([-4.99964032, -0.3       ,  0.01614121]), array([-5.03553524,  0.        ,  0.31398606])]","[ 0.        0.        5.192152  0.        0.        0.        0.
  0.       -4.6076  ]","[[0.0, 0.5, 5.442152], [0.0, -0.5, 5.442152], [0.0, 0.5, 4.942152], [0.0, -0.5, 4.942152]]","[[-5.00000000e+00  0.00000000e+00  4.03800005e-03 -1.07900264e-31
   0.00000000e+00 -4.40000000e+00  0.00000000e+00  5.99820100e-02
   3.00000001e+01  0.00000000e+00  2.99999999e+00  0.00000000e+00]
 [-5.00000000e+00  0.00000000e+00 -4.35961999e-01  5.88423519e-02
   0.00000000e+00 -1.39999998e+00  0.00000000e+00  3.59982009e-01
   3.00000000e+01  0.00000000e+00  2.99999996e+00  0.00000000e+00]
 [-4.99411576e+00  0.00000000e+00 -5.75961997e-01  4.11984703e-01
   0.00000000e+00  1.60000002e+00  0.00000000e+00  6.59982005e-01
   2.99999997e+01  0.00000000e+00  2.99999991e+00  0.00000000e+00]
 [-4.95291729e+00  0.00000000e+00 -4.15961995e-01  1.05942705e+00
   0.00000000e+00  4.59999999e+00  0.00000000e+00  9.59981996e-01
   6.02977605e-03  0.00000000e+00  2.99999972e+00  0.00000000e+00]
 [-4.84697459e+00  0.00000000e+00  4.40380041e-02  2.00116939e+00
   0.00000000e+00  4.60060297e+00  0.00000000e+00  1.25998197e+00
   6.85045919e-07  0.00000000e+00 -5.77295792e-01  0.00000000e+00]
 [-4.64685765e+00  0.00000000e+00  5.04098301e-01  3.23721170e+00
   0.00000000e+00  4.60060304e+00  0.00000000e+00  1.20225239e+00
   3.87472931e-07  0.00000000e+00 -2.99999950e+00  0.00000000e+00]
 [-4.32313648e+00  0.00000000e+00  9.64158605e-01  4.41662129e+00
   0.00000000e+00  4.60060308e+00  0.00000000e+00  9.02252439e-01
   2.96002168e-07  0.00000000e+00 -2.99999967e+00  0.00000000e+00]
 [-3.88147435e+00  0.00000000e+00  1.42421891e+00  5.30173094e+00
   0.00000000e+00  4.60060311e+00  0.00000000e+00  6.02252472e-01
   2.58017424e-07  0.00000000e+00 -2.99999969e+00  0.00000000e+00]
 [-3.35130126e+00  0.00000000e+00  1.88427922e+00  5.89254061e+00
   0.00000000e+00  4.60060313e+00  0.00000000e+00  3.02252503e-01
   2.43709013e-07  0.00000000e+00 -2.99999965e+00  0.00000000e+00]
 [-2.76204720e+00  0.00000000e+00  2.34433954e+00  6.18905032e+00
   0.00000000e+00  4.60060316e+00  0.00000000e+00  2.25253755e-03
   2.44103944e-07  0.00000000e+00 -2.99999956e+00  0.00000000e+00]
 [-2.14314217e+00  0.00000000e+00  2.80439985e+00  6.19126006e+00
   0.00000000e+00  4.60060318e+00  0.00000000e+00 -2.97747419e-01
   2.56744800e-07  0.00000000e+00 -2.99999937e+00  0.00000000e+00]
 [-1.52401616e+00  0.00000000e+00  3.26446017e+00  5.89916984e+00
   0.00000000e+00  4.60060321e+00  0.00000000e+00 -5.97747356e-01
   2.82550378e-07  0.00000000e+00 -2.99999898e+00  0.00000000e+00]
 [-9.34099176e-01  0.00000000e+00  3.72452049e+00  5.31277968e+00
   0.00000000e+00  4.60060323e+00  0.00000000e+00 -8.97747255e-01
   3.25625038e-07  0.00000000e+00 -2.99999802e+00  0.00000000e+00]
 [-4.02821208e-01  0.00000000e+00  4.18458081e+00  4.43208962e+00
   0.00000000e+00  4.60060327e+00  0.00000000e+00 -1.19774706e+00
   3.95025104e-07  0.00000000e+00 -2.99999451e+00  0.00000000e+00]
 [ 4.03877545e-02  0.00000000e+00  4.64464114e+00  3.25709976e+00
   0.00000000e+00  4.60060331e+00  0.00000000e+00 -1.49774651e+00
   5.10076170e-07  0.00000000e+00 -2.99959404e+00  0.00000000e+00]
 [ 3.66097731e-01  0.00000000e+00  5.10470147e+00  1.78781044e+00
   0.00000000e+00  4.60060336e+00  0.00000000e+00 -1.79770591e+00
   7.16146912e-07  0.00000000e+00  2.99994709e+00  0.00000000e+00]
 [ 5.44878775e-01  0.00000000e+00  5.56476181e+00  2.42609397e-02
   0.00000000e+00  4.60060343e+00  0.00000000e+00 -1.49771120e+00
   1.14184668e-06  0.00000000e+00  2.99995008e+00  0.00000000e+00]
 [ 5.47304869e-01  0.00000000e+00  6.02482215e+00 -1.44499375e+00
   0.00000000e+00  4.60060354e+00  0.00000000e+00 -1.19771619e+00
   2.30432206e-06  0.00000000e+00  2.50154981e+00  0.00000000e+00]
 [ 4.02805494e-01  0.00000000e+00  6.48488250e+00 -2.61995334e+00
   0.00000000e+00  4.60060377e+00  0.00000000e+00 -9.47561212e-01
   9.50717115e-06  0.00000000e+00  2.27755533e-01  0.00000000e+00]
 [ 1.40810160e-01  0.00000000e+00  6.94494288e+00 -3.54951088e+00
   0.00000000e+00  4.60060472e+00  0.00000000e+00 -9.24785659e-01
   9.75424646e+00  0.00000000e+00  9.15603724e-02  0.00000000e+00]]","[[0.0, 0.0, 5.529368, 0.0, 0.0, 0.0, 0.0, 0.0, -3.8227999999999978], [0.0, 0.0, 5.862597999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -2.841799999999998], [0.0, 0.0, 6.097727999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -1.860799999999998], [0.0, 0.0, 6.234757999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -0.8797999999999981], [0.0, 0.0, 6.273687999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10120000000000179], [0.0, 0.0, 6.214517999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0822000000000018], [0.0, 0.0, 6.057247999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 2.063200000000002], [0.0, 0.0, 5.8018779999999985, 0.0, 0.0, 0.0, 0.0, 0.0, 3.044200000000002], [0.0, 0.0, 5.448407999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 4.025200000000002], [0.0, 0.0, 4.996837999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 5.006200000000003], [0.0, 0.0, 4.447167999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 5.987200000000005], [0.0, 0.0, 3.7993979999999974, 0.0, 0.0, 0.0, 0.0, 0.0, 6.968200000000007], [0.0, 0.0, 3.0535279999999965, 0.0, 0.0, 0.0, 0.0, 0.0, 7.949200000000008], [0.0, 0.0, 2.2095579999999955, 0.0, 0.0, 0.0, 0.0, 0.0, 8.93020000000001], [0.0, 0.0, 1.2674879999999944, 0.0, 0.0, 0.0, 0.0, 0.0, 9.911200000000012], [0.0, 0.0, 0.22731799999999325, 0.0, 0.0, 0.0, 0.0, 0.0, 10.892200000000013], [0.0, 0.0, -0.910952000000008, 0.0, 0.0, 0.0, 0.0, 0.0, 11.873200000000015], [0.0, 0.0, -2.1473220000000097, 0.0, 0.0, 0.0, 0.0, 0.0, 12.854200000000017], [0.0, 0.0, -3.4817920000000093, 0.0, 0.0, 0.0, 0.0, 0.0, 13.835200000000018], [0.0, 0.0, -4.914362000000011, 0.0, 0.0, 0.0, 0.0, 0.0, 14.81620000000002]]",0,0.1,"[-5.0, 0.0, -5.09399999995046, 0.0, 0.0, -4.399999995046062, 0.0, 0.059982010041132384]"
"[-4.99820307  0.          0.03626653  0.          0.17986519  0.
  0.10775746  0.          1.20601068]","[[30.00000008]
 [ 0.        ]
 [ 2.99999999]
 [ 0.        ]]","[array([-4.70304273,  0.        ,  0.08993561]), array([-4.99820307, -0.3       ,  0.03626653]), array([-5.05187216,  0.        ,  0.33142687])]","[ 0.        0.        5.282342  0.        0.        0.        0.
  0.       -4.4114  ]","[[0.0, 0.5, 5.532342], [0.0, -0.5, 5.532342], [0.0, 0.5, 5.032342], [0.0, -0.5, 5.032342]]","[[-4.99964032e+00  0.00000000e+00  1.61412099e-02  3.59676295e-02
   0.00000000e+00 -3.80107902e+00  0.00000000e+00  1.19937062e-01
   3.00000001e+01  0.00000000e+00  2.99999999e+00  0.00000000e+00]
 [-4.99604356e+00  0.00000000e+00 -3.63966692e-01  1.53625887e-01
   0.00000000e+00 -8.01079013e-01  0.00000000e+00  4.19937061e-01
   2.99999998e+01  0.00000000e+00  2.99999996e+00  0.00000000e+00]
 [-4.98068097e+00  0.00000000e+00 -4.44074594e-01  5.65584144e-01
   0.00000000e+00  2.19892097e+00  0.00000000e+00  7.19937057e-01
   2.43503263e+01  0.00000000e+00  2.99999990e+00  0.00000000e+00]
 [-4.92412256e+00  0.00000000e+00 -2.24182497e-01  1.27184240e+00
   0.00000000e+00  4.63395360e+00  0.00000000e+00  1.01993705e+00
   6.73769143e-07  0.00000000e+00  2.99999969e+00  0.00000000e+00]
 [-4.79693832e+00  0.00000000e+00  2.39212864e-01  2.27240064e+00
   0.00000000e+00  4.63395367e+00  0.00000000e+00  1.31993702e+00
   3.56508542e-07  0.00000000e+00 -2.05653167e+00  0.00000000e+00]
 [-4.56969825e+00  0.00000000e+00  7.02608230e-01  3.56725885e+00
   0.00000000e+00  4.63395371e+00  0.00000000e+00  1.11428385e+00
   2.64422029e-07  0.00000000e+00 -2.99999945e+00  0.00000000e+00]
 [-4.21297237e+00  0.00000000e+00  1.16600360e+00  4.66037131e+00
   0.00000000e+00  4.63395373e+00  0.00000000e+00  8.14283904e-01
   2.25550880e-07  0.00000000e+00 -2.99999963e+00  0.00000000e+00]
 [-3.74693524e+00  0.00000000e+00  1.62939897e+00  5.45918382e+00
   0.00000000e+00  4.63395375e+00  0.00000000e+00  5.14283941e-01
   2.08883002e-07  0.00000000e+00 -2.99999965e+00  0.00000000e+00]
 [-3.20101686e+00  0.00000000e+00  2.09279435e+00  5.96369636e+00
   0.00000000e+00  4.63395378e+00  0.00000000e+00  2.14283977e-01
   2.05051944e-07  0.00000000e+00 -2.99999960e+00  0.00000000e+00]
 [-2.60464722e+00  0.00000000e+00  2.55618973e+00  6.17390894e+00
   0.00000000e+00  4.63395380e+00  0.00000000e+00 -8.57159836e-02
   2.10960318e-07  0.00000000e+00 -2.99999949e+00  0.00000000e+00]
 [-1.98725633e+00  0.00000000e+00  3.01958511e+00  6.08982156e+00
   0.00000000e+00  4.63395382e+00  0.00000000e+00 -3.85715932e-01
   2.26306189e-07  0.00000000e+00 -2.99999925e+00  0.00000000e+00]
 [-1.37827417e+00  0.00000000e+00  3.48298049e+00  5.71143423e+00
   0.00000000e+00  4.63395384e+00  0.00000000e+00 -6.85715857e-01
   2.52846584e-07  0.00000000e+00 -2.99999874e+00  0.00000000e+00]
 [-8.07130746e-01  0.00000000e+00  3.94637587e+00  5.03874698e+00
   0.00000000e+00  4.63395386e+00  0.00000000e+00 -9.85715732e-01
   2.94880399e-07  0.00000000e+00 -2.99999739e+00  0.00000000e+00]
 [-3.03256048e-01  0.00000000e+00  4.40977126e+00  4.07175985e+00
   0.00000000e+00  4.63395389e+00  0.00000000e+00 -1.28571547e+00
   3.61142007e-07  0.00000000e+00 -2.99999126e+00  0.00000000e+00]
 [ 1.03919936e-01  0.00000000e+00  4.87316665e+00  2.81047297e+00
   0.00000000e+00  4.63395393e+00  0.00000000e+00 -1.58571460e+00
   4.69868915e-07  0.00000000e+00  5.04454168e-01  0.00000000e+00]
 [ 3.84967233e-01  0.00000000e+00  5.33656204e+00  1.25488695e+00
   0.00000000e+00  4.63395398e+00  0.00000000e+00 -1.53526918e+00
   6.63541668e-07  0.00000000e+00  2.99996390e+00  0.00000000e+00]
 [ 5.10455928e-01  0.00000000e+00  5.79995744e+00 -2.51212117e-01
   0.00000000e+00  4.63395404e+00  0.00000000e+00 -1.23527279e+00
   1.06191118e-06  0.00000000e+00  2.99995007e+00  0.00000000e+00]
 [ 4.85334717e-01  0.00000000e+00  6.26335284e+00 -1.46301472e+00
   0.00000000e+00  4.63395415e+00  0.00000000e+00 -9.35277783e-01
   2.14173661e-06  0.00000000e+00  2.33035308e+00  0.00000000e+00]
 [ 3.39033244e-01  0.00000000e+00  6.72674826e+00 -2.38052223e+00
   0.00000000e+00  4.63395436e+00  0.00000000e+00 -7.02242475e-01
   8.58556701e-06  0.00000000e+00  1.73007896e-01  0.00000000e+00]
 [ 1.00981021e-01  0.00000000e+00  7.19014369e+00 -3.06942210e+00
   0.00000000e+00  4.63395522e+00  0.00000000e+00 -6.84941685e-01
   9.75391334e+00  0.00000000e+00  6.78140957e-02  0.00000000e+00]]","[[0.0, 0.0, 5.6038619999999995, 0.0, 0.0, 0.0, 0.0, 0.0, -3.626599999999997], [0.0, 0.0, 5.917471999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6455999999999973], [0.0, 0.0, 6.132981999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6645999999999974], [0.0, 0.0, 6.250391999999999, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6835999999999975], [0.0, 0.0, 6.269701999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29740000000000244], [0.0, 0.0, 6.190911999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2784000000000024], [0.0, 0.0, 6.014021999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2594000000000025], [0.0, 0.0, 5.739031999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 3.2404000000000024], [0.0, 0.0, 5.365941999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 4.221400000000003], [0.0, 0.0, 4.894751999999997, 0.0, 0.0, 0.0, 0.0, 0.0, 5.202400000000004], [0.0, 0.0, 4.325461999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 6.183400000000006], [0.0, 0.0, 3.658071999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 7.164400000000008], [0.0, 0.0, 2.892581999999995, 0.0, 0.0, 0.0, 0.0, 0.0, 8.14540000000001], [0.0, 0.0, 2.028991999999994, 0.0, 0.0, 0.0, 0.0, 0.0, 9.126400000000011], [0.0, 0.0, 1.0673019999999926, 0.0, 0.0, 0.0, 0.0, 0.0, 10.107400000000013], [0.0, 0.0, 0.007511999999991303, 0.0, 0.0, 0.0, 0.0, 0.0, 11.088400000000014], [0.0, 0.0, -1.1503780000000097, 0.0, 0.0, 0.0, 0.0, 0.0, 12.069400000000016], [0.0, 0.0, -2.406368000000012, 0.0, 0.0, 0.0, 0.0, 0.0, 13.050400000000018], [0.0, 0.0, -3.760458000000014, 0.0, 0.0, 0.0, 0.0, 0.0, 14.03140000000002], [0.0, 0.0, -5.212648000000016, 0.0, 0.0, 0.0, 0.0, 0.0, 15.01240000000002]]",0,0.1,"[-4.999640323704925, 0.0, -5.176010790110663, 0.03596762950747163, 0.0, -3.801079020974191, 0.0, 0.11993706200865709]"
